,Unnamed: 0,formatted_address,Address,latitude,longitude,License_Type,Entity_Name,Trade_Name,Concate
0,0,"110 Yuma St, Denver, CO 80223, USA",110 N Yuma  Denver CO,39.7185604,-105.0147409,Retail Marij Opt. Prem. Cultiv,"KTA, LLC",,"Retail Marij Opt. Prem. Cultiv-KTA, LLC"
1,1,"5020 E 41st Ave, Denver, CO 80216, USA",5020 E 41ST AVE DENVER CO,39.7735169,-104.9293195,Retail Marijuana Inf Prod Mfg,GHT LLC,SUMMIT CONCENTRATES,Retail Marijuana Inf Prod Mfg-GHT LLC
2,1,"5020 E 41st Ave, Denver, CO 80216, USA",5020 E 41ST AVE DENVER CO,39.7735169,-104.9293195,Retail Marij Opt. Prem. Cultiv,GHT LLC,SUMMIT CONCENTRATES,Retail Marij Opt. Prem. Cultiv-GHT LLC
5,2,"1275 S Cherokee St, Denver, CO 80223, USA",1275 S Cherokee ST Denver CO,39.6935163,-104.9917568,Retail Marijuana Inf Prod Mfg,SUSAN & STEPH INC,JADE & JANE,Retail Marijuana Inf Prod Mfg-SUSAN & STEPH INC
6,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Med Marijuana Inf Prod Manuf,"PEORIA PARTNERS, LLC",,"Med Marijuana Inf Prod Manuf-PEORIA PARTNERS, LLC"
7,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Med Marijuana Opt Prem Cultiv,"WONDERLAND EDIBLES, LTD",WONDERLAND EDIBLES,"Med Marijuana Opt Prem Cultiv-WONDERLAND EDIBLES, LTD"
8,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Retail Marij Opt. Prem. Cultiv,COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,Retail Marij Opt. Prem. Cultiv-COLORADO CANNABIS COMPANY LLC
9,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Retail Marijuana Inf Prod Mfg,"GOOD LIFE, COLORADO LLC",GOOD LIFE PRODUCTS,"Retail Marijuana Inf Prod Mfg-GOOD LIFE, COLORADO LLC"
10,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Med Marijuana Inf Prod Manuf,"COLORADO MEDICAL PROCESSING, LLC",COLORADO'S BEST DABS,"Med Marijuana Inf Prod Manuf-COLORADO MEDICAL PROCESSING, LLC"
11,3,"5475 Peoria St, Denver, CO 80239, USA",5475 N PEORIA ST DENVER CO,39.7952228,-104.8486775,Med Marijuana Inf Prod Manuf,"WONDERLAND EDIBLES, LTD.",,"Med Marijuana Inf Prod Manuf-WONDERLAND EDIBLES, LTD."
42,4,"2282 N Broadway, Denver, CO 80205, USA",2282 N Broadway  Denver CO,39.7543352,-104.9873476,Retail Marijuana Inf Prod Mfg,GENTLEMAN QUINNS LLC,GENTLEMAN QUINNS,Retail Marijuana Inf Prod Mfg-GENTLEMAN QUINNS LLC
43,5,"2186 S Jason St, Denver, CO 80223, USA",2186 S Jason St Denver CO,39.6769079,-104.9990602,Marijuana Transporter,"GPS TRANSPORTATION, LLC",,"Marijuana Transporter-GPS TRANSPORTATION, LLC"
