,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,REPORTED_DATE,GEO_LON,GEO_LAT,NEIGHBORHOOD_ID,MARIJUANA?
1257,2018158641.0,2018160000000000.0,2203,burglary-business-by-force,burglary,3/7/18 4:30,3/8/18 13:45,-104.96214450000001,39.7780203,elyria-swansea,MARIJUANA
1635,2018120507.0,2018120000000000.0,2203,burglary-business-by-force,burglary,2/20/18 2:45,2/20/18 2:45,-105.00918090000002,39.662017999999996,college-view-south-platte,MARIJUANA
1866,201856457.0,201856000000000.0,1313,assault-simple,other-crimes-against-persons,1/24/18 1:50,1/24/18 10:18,-104.99479290000001,39.697393700000006,athmar-park,MARIJUANA
1920,201856457.0,201856000000000.0,2203,burglary-business-by-force,burglary,1/24/18 1:50,1/24/18 10:18,-104.99479290000001,39.697393700000006,athmar-park,MARIJUANA
2881,201841843.0,201842000000000.0,1316,threats-to-injure,public-disorder,1/18/18 8:30,1/18/18 9:35,-104.973045,39.744058700000004,city-park-west,MARIJUANA
3293,20184942.0,20184900000000.0,2203,burglary-business-by-force,burglary,1/3/18 5:20,1/3/18 5:54,-104.8852354,39.6548489,hampden,MARIJUANA
3483,20184840.0,20184800000000.0,2203,burglary-business-by-force,burglary,1/3/18 2:50,1/3/18 4:03,-104.99979609999998,39.7144194,baker,MARIJUANA
3847,20184912.0,20184900000000.0,2205,burglary-business-no-force,burglary,1/3/18 4:49,1/3/18 5:00,-104.9359965,39.678205600000005,university-hills,MARIJUANA
4083,20184860.0,20184900000000.0,2203,burglary-business-by-force,burglary,1/3/18 3:31,1/3/18 4:01,-105.0254818,39.7028968,westwood,MARIJUANA
4295,2018134917.0,2018130000000000.0,2399,theft-other,larceny,2/16/18 15:30,2/26/18 11:17,-104.95884939999999,39.7757706,elyria-swansea,MARIJUANA
4614,2018342940.0,2018340000000000.0,2308,theft-from-bldg,larceny,5/21/18 21:17,5/22/18 8:57,-105.0243508,39.6883421,ruby-hill,MARIJUANA
4748,2018235492.0,2018240000000000.0,2399,theft-other,larceny,4/6/18 20:00,4/9/18 9:13,-105.02541070000001,39.7307529,villa-park,MARIJUANA
5324,201842472.0,201842000000000.0,1205,robbery-street,robbery,1/18/18 13:31,1/18/18 13:36,-104.8459901,39.78022429999999,montbello,MARIJUANA
5335,201843994.0,201844000000000.0,2203,burglary-business-by-force,burglary,1/19/18 0:55,1/19/18 0:59,-105.0086895,39.7357905,lincoln-park,MARIJUANA
5962,201878414.0,201878000000000.0,2203,burglary-business-by-force,burglary,2/1/18 18:00,2/2/18 8:46,-104.9907702,39.6816951,overland,MARIJUANA
6184,2018309066.0,2018310000000000.0,2203,burglary-business-by-force,burglary,5/8/18 2:45,5/8/18 15:06,-105.05237959999998,39.7117213,barnum-west,MARIJUANA
6753,2018252471.0,2018250000000000.0,1202,robbery-business,robbery,4/15/18 21:37,4/16/18 0:15,-104.94892209999999,39.7790847,elyria-swansea,MARIJUANA
6897,201880858.0,201881000000000.0,2203,burglary-business-by-force,burglary,2/2/18 19:00,2/3/18 7:56,-104.97003909999998,39.7776004,elyria-swansea,MARIJUANA
7980,2017528706.0,2017530000000000.0,2399,theft-other,larceny,8/9/17 14:20,8/9/17 15:08,-104.86167859999999,39.658201700000006,kennedy,MARIJUANA
8640,2018427487.0,2018430000000000.0,2203,burglary-business-by-force,burglary,6/26/18 2:28,6/26/18 3:11,-104.8749993,39.7083319,windsor,MARIJUANA
